CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0026000000040084RB0F;17/09/2017;6;0,048;R
ES0026000000040084RB0F;17/09/2017;7;0,083;R
ES0026000000040084RB0F;17/09/2017;8;0,12;R
ES0026000000040084RB0F;17/09/2017;9;0,236;R
ES0026000000040084RB0F;17/09/2017;10;0,829;R
ES0026000000040084RB0F;17/09/2017;11;0,813;R
ES0026000000040084RB0F;17/09/2017;12;1,113;R
ES0026000000040084RB0F;17/09/2017;13;0,75;R
ES0026000000040084RB0F;17/09/2017;14;0,779;R
ES0026000000040084RB0F;17/09/2017;15;1,25;R
ES0026000000040084RB0F;17/09/2017;16;1,467;R
ES0026000000040084RB0F;17/09/2017;17;1,536;R
ES0026000000040084RB0F;17/09/2017;18;1,646;R
ES0026000000040084RB0F;17/09/2017;19;2,193;R
ES0026000000040084RB0F;17/09/2017;20;1,518;R
ES0026000000040084RB0F;17/09/2017;21;0,097;R
ES0026000000040084RB0F;17/09/2017;22;0,115;R
ES0026000000040084RB0F;17/09/2017;23;0,959;R
ES0026000000040084RB0F;17/09/2017;24;0,664;R
ES0026000000040084RB0F;18/09/2017;1;0,195;R
ES0026000000040084RB0F;18/09/2017;2;0,689;R
ES0026000000040084RB0F;18/09/2017;3;0,124;R
ES0026000000040084RB0F;18/09/2017;4;0,089;R
ES0026000000040084RB0F;18/09/2017;5;0,049;R
ES0026000000040084RB0F;18/09/2017;6;0,093;R
ES0026000000040084RB0F;18/09/2017;7;0,068;R
ES0026000000040084RB0F;18/09/2017;8;0,119;R
ES0026000000040084RB0F;18/09/2017;9;0,255;R
ES0026000000040084RB0F;18/09/2017;10;0,105;R
ES0026000000040084RB0F;18/09/2017;11;0,128;R
ES0026000000040084RB0F;18/09/2017;12;0,119;R
ES0026000000040084RB0F;18/09/2017;13;0,093;R
ES0026000000040084RB0F;18/09/2017;14;0,523;R
ES0026000000040084RB0F;18/09/2017;15;2,101;R
ES0026000000040084RB0F;18/09/2017;16;1,876;R
ES0026000000040084RB0F;18/09/2017;17;1,962;R
ES0026000000040084RB0F;18/09/2017;18;1,833;R
ES0026000000040084RB0F;18/09/2017;19;0,785;R
ES0026000000040084RB0F;18/09/2017;20;0,789;R
ES0026000000040084RB0F;18/09/2017;21;0,604;R
ES0026000000040084RB0F;18/09/2017;22;0,372;R
ES0026000000040084RB0F;18/09/2017;23;0,35;R
